group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
5,ENSG00000069493,11.234052,3.5480046,2.7745704365209336e-29,2.7918706992427695e-26,0.6081871345029239,0.20044653932026793
5,ENSG00000134516,11.090227,4.3026466,1.3993139587677935e-28,1.3298146988156597e-25,0.5497076023391813,0.06846936244108162
5,ENSG00000111276,11.051829,3.16537,2.147937947455952e-28,1.93382244890429e-25,0.631578947368421,0.26581493425948893
5,ENSG00000116824,10.976641,7.4168253,4.949877670892662e-28,4.032028925632851e-25,0.49707602339181284,0.012279831307367898
5,ENSG00000213809,10.903827,7.0115027,1.105096113203434e-27,8.592624596571791e-25,0.49707602339181284,0.018357727611014635
6,ENSG00000177575,32.165092,8.031912,5.433766628690428e-227,9.295001195037846e-223,0.9649122807017544,0.11156497319377075
6,ENSG00000166927,30.372303,8.069624,1.275556085036133e-202,1.0909831195314046e-198,0.9122807017543859,0.05246362011743681
6,ENSG00000010327,29.213196,7.295117,1.3183918988759486e-187,7.51747060739066e-184,0.8897243107769424,0.11092672964003064
6,ENSG00000130066,28.690588,4.1837,4.999835485121637e-181,2.1381796452122684e-177,0.974937343358396,0.5828440132754659
6,ENSG00000110077,26.645922,7.3164005,1.9954708809881892e-156,6.826904978036793e-153,0.8045112781954887,0.04544294102629563
6,ENSG00000182578,26.061201,7.020696,1.004361064017076e-149,2.863433393512684e-146,0.7869674185463659,0.04633648200153179
6,ENSG00000018280,25.275896,7.3254313,5.88150851545427e-141,1.437272638076582e-137,0.7644110275689223,0.04518764360479959
6,ENSG00000038945,23.84958,6.9973583,1.0228446921474027e-125,2.1870976629841838e-122,0.7218045112781954,0.03791166709216237
6,ENSG00000164733,23.676224,4.7050223,6.339104620707028e-124,1.2048524849090492e-120,0.7694235588972431,0.21266275210620372
6,ENSG00000178573,23.46522,4.163703,9.244241509524563e-122,1.581319952619272e-118,0.7944862155388471,0.2734235384222619
