group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,gene_symbol
11,ENSG00000154447,31.606264,3.1845703,3.0282993998226623e-219,2.726425764914024e-216,0.791894852135816,0.2069672131147541,SH3RF1
11,ENSG00000189060,31.365007,2.9295356,6.074029060443083e-216,5.1951170553969686e-213,0.8565169769989047,0.3403005464480874,H1F0
12,ENSG00000204388,14.488456,6.5240054,1.4332896455080606e-47,2.4517852676060888e-43,0.986842105263158,0.3329655510604389,HSPA1B
12,ENSG00000132002,13.818408,5.9630294,1.973858612813058e-43,1.6882412715390087e-39,0.9605263157894736,0.2449429937477013,DNAJB1
12,ENSG00000080824,13.783959,5.384034,3.1832367724881053e-43,1.8150816076727176e-39,0.9605263157894736,0.3995341424543337,HSP90AA1
12,ENSG00000106211,13.544804,5.354188,8.504066678967958e-42,3.636764115260648e-38,0.9605263157894736,0.425891872011769,HSPB1
12,ENSG00000112715,12.39087,3.5115805,2.9284952469551506e-35,1.0018967938882964e-31,0.9605263157894736,0.611989702096359,VEGFA
12,ENSG00000109046,11.211651,2.6677687,3.574646190066016e-29,1.0191316287878212e-25,0.9605263157894736,0.7750398430795635,WSB1
12,ENSG00000120694,10.816008,4.7201037,2.890979618042224e-27,7.03997664391248e-24,0.7894736842105263,0.2590413142086551,HSPH1
12,ENSG00000204389,10.571761,4.0624366,4.0285685518031925e-26,7.656965960793934e-23,0.8289473684210527,0.2977810469535368,HSPA1A
12,ENSG00000115548,9.662873,3.3603358,4.335292982466447e-22,7.415952175807106e-19,0.7763157894736842,0.3439990192472723,KDM3A
12,ENSG00000007168,9.192999,2.2707705,3.820377527124425e-20,5.44594816491587e-17,0.8421052631578947,0.594090964815496,PAFAH1B1
12,ENSG00000115541,8.561571,3.2709136,1.1134011163209793e-17,1.2697226330524447e-14,0.7105263157894737,0.3079563565036165,HSPE1
12,ENSG00000169136,8.144473,2.6333144,3.809375138780853e-16,3.620176173554737e-13,0.7763157894736842,0.4001471129091578,ATF5
12,ENSG00000111674,7.9846883,2.2872496,1.4087758459327765e-15,1.204925981026304e-12,0.7894736842105263,0.5155081525070492,ENO2
12,ENSG00000100591,7.800952,2.5173821,6.144180243131069e-15,5.004873678047622e-12,0.6973684210526315,0.3796738997180336,AHSA1
12,ENSG00000122884,7.4657226,3.2926922,8.284382228502016e-14,6.161419234815455e-11,0.618421052631579,0.2388132891994606,P4HA1
12,ENSG00000104419,7.1756086,2.6892815,7.19862411536059e-13,4.560728300642898e-10,0.6710526315789473,0.4137550570062523,NDRG1
12,ENSG00000133706,6.9938846,2.118604,2.673779290797612e-12,1.5771609844270324e-09,0.6842105263157895,0.4361897756528135,LARS
12,ENSG00000166471,6.9839206,2.1699252,2.8705437174576853e-12,1.6367840276943722e-09,0.6842105263157895,0.4613215643006007,TMEM41B
12,ENSG00000152795,6.9399924,1.2497356,3.921205096312415e-12,2.1637462702425863e-09,0.8421052631578947,0.7401005271545912,HNRNPDL
12,ENSG00000083896,6.920453,2.0348144,4.502020648271608e-12,2.406611412791691e-09,0.6973684210526315,0.469780556577173,YTHDC1
13,ENSG00000176165,20.30596,5.344676,1.1389788939265472e-91,1.9483372959507519e-87,0.8486238532110092,0.1361197754210854,FOXG1
13,ENSG00000124766,16.303782,3.0727115,9.276972812724369e-60,7.934594846723151e-56,0.8394495412844036,0.4409232688708671,SOX4
13,ENSG00000141433,16.08559,4.991718,3.2197224776932885e-58,1.8358857567807128e-54,0.6834862385321101,0.0897067997504678,ADCYAP1
13,ENSG00000166165,15.939266,2.6391985,3.3830180478840017e-57,1.4467476681775934e-53,0.8623853211009175,0.5373674360573923,CKB
13,ENSG00000100314,15.272603,4.014696,1.1643169119362909e-52,3.474409186233188e-49,0.7018348623853211,0.1671865252651279,CABP7
13,ENSG00000173404,15.269628,3.1429102,1.2186633413655516e-52,3.474409186233188e-49,0.7889908256880734,0.3422333125389894,INSM1
13,ENSG00000162992,13.8709,6.301166,9.507561719613665e-44,2.323376439653019e-40,0.5642201834862385,0.0238303181534622,NEUROD1
13,ENSG00000179915,13.854222,2.7381566,1.1994943696127266e-43,2.564818835824413e-40,0.8165137614678899,0.3223955084217093,NRXN1
13,ENSG00000242265,13.627683,3.083658,2.7414630031154225e-42,5.210607347921379e-39,0.7110091743119266,0.3346225826575171,PEG10
13,ENSG00000063015,13.131602,3.3228846,2.170157255619743e-39,3.712271001463132e-36,0.6376146788990825,0.192264504054897,SEZ6
13,ENSG00000117632,12.194689,3.1145492,3.317685893330389e-34,5.15930317193724e-31,0.6055045871559633,0.2017467248908297,STMN1
13,ENSG00000205542,12.1328125,1.5421015,7.077627349331479e-34,1.0089157786472024e-30,0.8715596330275229,0.7560823456019963,TMSB4X
13,ENSG00000196405,11.981175,1.7161406,4.4595696717510426e-33,5.868107600382565e-30,0.8027522935779816,0.6209606986899563,EVL
13,ENSG00000080824,11.576834,2.4188707,5.4004342380087354e-31,5.132212670854301e-28,0.6788990825688074,0.3972551466001248,HSP90AA1
13,ENSG00000163618,11.479073,2.1873293,1.6807349055850613e-30,1.5131921734177922e-27,0.7018348623853211,0.3903930131004366,CADPS
13,ENSG00000188175,11.358135,3.2203295,6.757143282094222e-30,5.5041758563573216e-27,0.555045871559633,0.1493449781659388,HEPACAM2
13,ENSG00000152784,10.815225,3.66522,2.9157708065744608e-27,2.1685728442288142e-24,0.5045871559633027,0.113162819713038,PRDM8
13,ENSG00000136928,10.785377,5.6516886,4.035862622569835e-27,2.8765610842366502e-24,0.4449541284403669,0.0274485339987523,GABBR2
13,ENSG00000152217,10.720597,1.9001135,8.14751118434868e-27,5.57485305277874e-24,0.7064220183486238,0.4361821584529008,SETBP1
13,ENSG00000100941,10.468701,1.6979436,1.2028130583684192e-25,7.348328634446492e-23,0.7247706422018348,0.5427323767935122,PNN
14,ENSG00000154358,14.773804,4.963567,2.161611308601318e-49,3.697652304493415e-45,0.76,0.1840900655697142,OBSCN
14,ENSG00000102287,13.245501,5.801778,4.7907968575210396e-40,4.097568552237746e-36,0.66,0.0687863417048125,GABRE
14,ENSG00000221869,12.2966,3.0083032,9.44665512850063e-35,5.3864827542710605e-31,0.7733333333333333,0.4544104911542744,CEBPD
14,ENSG00000265972,12.207377,2.4469962,2.8389233029384943e-34,1.214065550501647e-30,0.8266666666666667,0.6676976370159594,TXNIP
