Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Intermediate Filament Bundle Assembly (GO:0045110),4/7,0.0016046961664203,0.0389624317604734,0,0,14.0399846212995,90.34478570084774,PKP2;NEFL;EPPK1;NEFM
GO_Biological_Process_2023,Neuroepithelial Cell Differentiation (GO:0060563),4/7,0.0016046961664203,0.0389624317604734,0,0,14.0399846212995,90.34478570084774,TUBB2A;WNT11;MAP1B;SOX4
GO_Biological_Process_2023,Proximal/Distal Pattern Formation (GO:0009954),4/7,0.0016046961664203,0.0389624317604734,0,0,14.0399846212995,90.34478570084774,HOXA9;SIX3;HOXC9;DLL1
GO_Biological_Process_2023,Pyrimidine Nucleobase Catabolic Process (GO:0006208),4/7,0.0016046961664203,0.0389624317604734,0,0,14.0399846212995,90.34478570084774,DPYSL4;DPYSL5;DPYSL3;CRMP1
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),19/105,0.0016437865041818,0.0396589503414003,0,0,2.336025542162155,14.97568241240822,TFAP2A;CNTFR;TFAP2B;EPHA7;EGLN3;UNC5B;KCNB1;FAIM2;ISL1;POU4F1;TOX3;GRM4;MSH2;BCL2;NSMF;ATP13A2;PPARGC1A;RETREG1;CDK5R1
GO_Biological_Process_2023,Regulation Of GTPase Activity (GO:0043087),32/214,0.0017344875973665,0.0415840674286866,0,0,1.8633652396841145,11.845493404558749,GPSM1;PLXND1;RGS16;EFNA5;SLC6A2;ARHGAP44;FGD4;DOCK11;WNT11;RASGEF1B;PLXNA2;SH3BP4;HRAS;RALGPS1;PLXNA4;MAP4K4;RGS7;PLXNA3;EPHA4;RCC2;VAV2;ADCYAP1;SFRP1;TBC1D7;PLXNB1;ITGA6;GNB5;RGS11;ARHGEF7;RAPGEF5;ARHGEF5;EZH2
GO_Biological_Process_2023,Regulation Of Stress Fiber Assembly (GO:0051492),15/75,0.0017709609745646,0.0421931452190024,0,0,2.6410330818340104,16.734200851645163,ARHGEF10L;CCDC88A;NELL1;SFRP1;TMEFF2;WNT11;STMN1;ALMS1;RHPN1;EVL;CD47;RHPN2;MET;ARHGEF5;CLASP2
GO_Biological_Process_2023,Negative Regulation Of Cell Migration (GO:0030336),26/163,0.0018016342075605,0.0426573267032352,0,0,2.0092178866225527,12.696370654836766,PTPRU;NEXMIF;PTPRK;CORO1C;ARHGAP4;ROBO1;ADGRG1;DACH1;DUSP10;WNT11;DPYSL3;NKX2-1;DRD2;AMH;CLASP2;EPHA4;IGFBP5;SAP30;DUSP22;SFRP1;TMEFF2;COL3A1;STK26;DPEP1;EVL;EPPK1
GO_Biological_Process_2023,Response To Calcium Ion (GO:0051592),19/106,0.0018430156062647,0.0433677499449458,0,0,2.3090476285998944,14.538576960311984,SYT5;SYT4;HOMER1;SYT1;CPNE7;ITPR3;ADCY1;SYT13;SYT7;SYT17;ITPKB;CRHBP;SYT11;SYT10;KCNMB2;KCNMA1;DPEP1;CPNE2;CALM1
GO_Biological_Process_2023,Regulation Of Cytoskeleton Organization (GO:0051493),20/114,0.0018551734906553,0.0433860205299264,0,0,2.250018576771605,14.15211523175856,PATJ;NRG1;EFNA5;BAIAP2;MID1;CORO2B;BICD1;ARHGAP44;CAMSAP3;CCDC88A;MAP6;RAC3;TRIM36;PLXNB1;TPPP;MAPT;PAK3;HRAS;ARHGEF5;PLXNA3
GO_Biological_Process_2023,Regulation Of Focal Adhesion Assembly (GO:0051893),12/54,0.0019552980953275,0.0452511268349423,0,0,3.016056944214534,18.811788431293465,DUSP22;CAMSAP3;NELL1;SFRP1;COL16A1;RCC2;NRG1;FYN;EFNA5;CORO1C;CLASP2;MAP4K4
GO_Biological_Process_2023,Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744),7/22,0.0019586662979447,0.0452511268349423,0,0,4.919275948392066,30.67410335049825,APLP1;STMN1;CRY1;BICD1;MET;MRAP2;SNCA
GO_Biological_Process_2023,Regulation Of Cell Motility (GO:2000145),21/123,0.0020512846587379,0.047105404331983,0,0,2.177532632155949,13.477378809378829,PLEKHG3;PLXND1;SERPINE2;RCC2;FBLN1;SPINT2;SRCIN1;FGF5;CAMSAP3;KIF2A;FES;SPOCK3;PLXNA2;TNR;PLXNB1;FYN;AMOTL1;PKN1;TMSB10;PLXNA4;PLXNA3
GO_Biological_Process_2023,Cellular Response To Calcium Ion (GO:0071277),14/69,0.0021561962167472,0.0492180837020388,0,0,2.688230331153765,16.504147157080283,SYT5;SYT4;SYT1;CPNE7;ADCY1;SYT13;SYT7;SYT17;ITPKB;CRHBP;SYT11;SYT10;DPEP1;CPNE2
GO_Biological_Process_2023,Positive Regulation Of Ossification (GO:0045778),10/41,0.0021911542794105,0.0497183340066244,0,0,3.403337813620072,20.8397496632693,TFAP2A;NELL1;PKDCC;ALOX5;PTN;ATP2B1;TENT5A;BMP7;SLC8A1;WNT4
