names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,gene_symbol,comparison,state_A,state_B
ENSG00000174705,4.269097,0.32497576,1.962658412452478e-05,5.735093065154098e-05,0.18933333333333333,SH3PXD2B,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000233041,4.2689457,2.935426,1.9639894501112334e-05,5.7380023114607616e-05,0.09777777777777778,PHGR1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000145569,4.2686625,0.12262987,1.9664874631021237e-05,5.744319423467371e-05,0.3831111111111111,OTULINL,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000083799,4.2663937,0.25769824,1.986580779730371e-05,5.800042809023336e-05,0.21155555555555555,CYLD,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000164346,4.26611,0.1818066,1.9891061480400736e-05,5.8064248751490616e-05,0.20977777777777779,NSA2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000105058,4.2653728,0.3869623,1.9956864206439558e-05,5.8246394662234274e-05,0.19466666666666665,FAM32A,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000129682,4.2628965,0.42733145,2.017941475757244e-05,5.8875843227534395e-05,0.15733333333333333,FGF13,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000171314,4.2604957,1.1252941,2.039742450268746e-05,5.950176390569094e-05,0.13333333333333333,PGAM1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000159423,4.2571306,1.4007065,2.0706758738993873e-05,6.0393830347694665e-05,0.11911111111111111,ALDH4A1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000092108,4.2545404,0.06031353,2.094787821863157e-05,6.107625785033436e-05,0.2853333333333333,SCFD1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
